City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,bikenibeu village,1.3673,173.1241,28.98,79,75,3.09,KI,43200
115,isafjordur,66.0755,-23.124,5.89,83,8,4.78,IS,0
116,castelli,-25.9468,-60.6195,22.49,59,100,0.97,AR,-10800
117,bratsk,56.1325,101.6142,7.27,66,100,4.78,RU,28800
118,port mathurin,-19.6833,63.4167,24.53,74,100,5.33,MU,14400
119,at taj,24.2049,23.2857,20.94,30,100,3.4,LY,7200
120,yermakovskoye,53.2831,92.4003,7.57,69,100,7.29,RU,25200
121,fort bragg,35.139,-79.006,19.52,88,0,0.0,US,-14400
122,port isabel,26.0734,-97.2086,28.36,85,20,4.12,US,-18000
123,kupang,-10.1667,123.5833,31.32,66,20,1.54,ID,28800
124,foumban,5.7291,10.9001,17.51,91,99,0.99,CM,3600
125,jianguang,28.1938,115.7836,20.29,88,100,1.33,CN,28800
126,hotan,37.0997,79.9269,10.3,28,88,0.82,CN,28800
127,xinyuan,37.3,99.0,-1.72,49,0,1.78,CN,28800
128,angaur state,6.906,134.13,28.5,76,77,6.03,PW,32400
129,puerto real,36.5282,-6.1901,19.78,87,100,4.46,ES,7200
130,brandon,27.9378,-82.2859,26.18,76,40,5.14,US,-14400
131,chonchi,-42.6128,-73.8092,10.07,89,100,2.98,CL,-10800
132,raja,8.4596,25.678,20.82,95,100,1.33,SS,7200
133,slavuta,50.3016,26.8651,9.32,94,1,2.84,UA,10800
134,avallon,47.4833,3.9,10.61,94,100,5.95,FR,7200
135,gornyak,50.9942,81.4661,-1.84,66,10,3.2,RU,25200
136,christchurch,-43.5333,172.6333,10.23,56,75,9.26,NZ,46800
137,st. john's,47.5649,-52.7093,9.53,89,100,3.6,CA,-9000
138,petropavlovsk-kamchatsky,53.0452,158.6483,5.33,59,0,3.0,RU,43200
139,queenstown,-31.8976,26.8753,18.22,30,6,0.92,ZA,7200
140,ataq,14.5377,46.8319,21.13,76,72,0.64,YE,10800
141,bure,10.7,37.0667,13.7,94,100,1.13,ET,10800
142,al harithah,30.7186,47.7208,17.98,59,0,4.12,IQ,10800
143,sisimiut,66.9395,-53.6735,-3.52,84,100,4.93,GL,-7200
144,mount pearl,47.5166,-52.7813,9.07,88,100,3.6,CA,-9000
145,ban karon,7.8477,98.2985,29.32,78,100,3.16,TH,25200
146,vilyuchinsk,52.9306,158.4028,6.15,59,6,1.21,RU,43200
147,hasaki,35.7333,140.8333,22.38,53,8,4.07,JP,32400
148,acarau,-2.8856,-40.12,25.47,78,2,6.03,BR,-10800
149,minas de marcona,-15.2119,-75.1103,14.86,85,100,3.77,PE,-18000
150,chardara,41.2547,67.9692,13.37,57,100,4.13,KZ,21600
151,thames,-37.1333,175.5333,11.63,86,100,4.88,NZ,46800
152,labrador city,52.9463,-66.9114,-2.05,69,40,1.54,CA,-10800
153,bolobo,-2.1667,16.2333,21.78,98,100,1.11,CD,3600
154,taro,-8.3862,115.28,24.0,44,6,1.03,ID,28800
155,new norfolk,-42.7826,147.0587,13.29,37,22,1.12,AU,39600
156,jamestown,42.097,-79.2353,19.45,61,0,3.6,US,-14400
157,utrik,11.2278,169.8474,28.27,77,76,5.41,MH,43200
158,hermanus,-34.4187,19.2345,15.92,74,100,4.8,ZA,7200
